city,country,lat,lng,alliance
Cottbus,Germany,51.766667,14.3,WarsawPact
Dessau,Germany,51.833333,12.2,WarsawPact
Drewitz,Germany,51.883333,14.533333,WarsawPact
Erfurt,Germany,50.983333,10.966667,WarsawPact
Finowfurt,Germany,52.833333,13.7,WarsawPact
Finsterwalde,Germany,51.616667,13.733333,WarsawPact
Flugplatz Brandenburg-Briest,Germany,52.433333,12.45,WarsawPact
Grossenhain,Germany,51.316667,13.566667,WarsawPact
Hennigsdorf,Germany,52.6333333,13.2166667,WarsawPact
Juterbog,Germany,52,12.983333,WarsawPact
Kothen,Germany,51.716667,11.966667,WarsawPact
Kubschutz,Germany,51.183333,14.5,WarsawPact
Larz,Germany,53.3,12.75,WarsawPact
Merseburg,Germany,51.366667,11.966667,WarsawPact
Neubrandenburg,Germany,53.6,13.316667,WarsawPact
Neuruppin,Germany,52.95,12.8,WarsawPact
Oranienburg,Germany,52.733333,13.216667,WarsawPact
Oranienburg,Germany,52.75,13.2333333,WarsawPact
Parchim,Germany,53.433333,11.783333,WarsawPact
Peenemunde,Germany,54.166667,13.766667,WarsawPact
Potsdam,Germany,52.3833333,13.0333333,WarsawPact
Preschen,Germany,51.666667,14.633333,WarsawPact
Putnitz,Germany,54.266667,12.45,WarsawPact
Rothenburg,Germany,51.366667,14.95,WarsawPact
Schoenwalde,Germany,52.6166667,13.1333333,WarsawPact
Schonefeld,Germany,52.383333,13.516667,WarsawPact
Templin,Germany,53.033333,13.55,WarsawPact
Tutow,Germany,53.916667,13.216667,WarsawPact
Velten,Germany,52.7,13.1666667,WarsawPact
Welzow,Germany,51.583333,14.15,WarsawPact
Werneuchen,Germany,52.633333,13.766667,WarsawPact
Wittstock,Germany,53.2,12.516667,WarsawPact
Zerbst,Germany,52,12.15,WarsawPact
Berettyoujfalu,Hungary,47.233333,21.516667,WarsawPact
Debrecen,Hungary,47.5,21.633333,WarsawPact
Ferihegy,Hungary,47.433333,19.233333,WarsawPact
Fokto,Hungary,46.533333,18.933333,WarsawPact
Kecskemet,Hungary,46.916667,19.75,WarsawPact
Kiskunlachaza,Hungary,47.183333,19.066667,WarsawPact
Kunmadaras,Hungary,47.4,20.783333,WarsawPact
Papa,Hungary,47.366667,17.5,WarsawPact
Sarmellek,Hungary,46.683333,17.15,WarsawPact
Szekesfehervar,Hungary,47.15,18.416667,WarsawPact
Szombathely,Hungary,47.283333,16.633333,WarsawPact
Taszar,Hungary,46.383333,17.916667,WarsawPact
Tokol,Hungary,47.35,18.983333,WarsawPact
Veszprem,Hungary,47.083333,17.966667,WarsawPact
Szolnok,Hungary,47.116667,20.233333,WarsawPact
Abay District,Kazakhstan,49.666667,72.683333,USSR
Aktobe ,Kazakhstan,50.1666667,57.1666667,USSR
Almaty,Kazakhstan,43.35,77,USSR
Almaty,Kazakhstan,43.383333,76.983333,USSR
Almaty,Kazakhstan,43.35,76.833333,USSR
Atyrau,Kazakhstan,47.116667,51.866667,USSR
Balkhash ,Kazakhstan,46.866667,75,USSR
Jezkazgan,Kazakhstan,47.866667,67.466667,USSR
Karagandy,Kazakhstan,49.9,73.2,USSR
Karagandy,Kazakhstan,49.816667,73.166667,USSR
Karmakshy District,Kazakhstan,45.516667,64.1,USSR
Kostanay,Kazakhstan,53.233333,63.583333,USSR
Novocherkasskoye,Kazakhstan,51.433333,69.916667,USSR
Novosukhotino,Kazakhstan,53.85,69.883333,USSR
Oskemen or Ust-Kamenogorsk,Kazakhstan,49.983333,82.633333,USSR
Pavlodar,Kazakhstan,52.3,76.966667,USSR
Semey,Kazakhstan,50.35,80.283333,USSR
Shymkent,Kazakhstan,42.3,69.6,USSR
Syugaty,Kazakhstan,43.266667,74.7,USSR
Uralsk,Kazakhstan,51.25,51.366667,USSR
Leninogorsk,Kazakhstan,50.35,83.5333333,USSR
Lugovoye,Kazakhstan,42.916667,72.716667,USSR
Bishkek,Kyrgyzstan,42.85,74.583333,USSR
Bishkek,Kyrgyzstan,42.883333,74.55,USSR
Kara-Suu District,Kyrgyzstan,40.55,72.766667,USSR
Bauska,Latvia,56.4,24.233333,USSR
Cirava,Latvia,56.733333,21.35,USSR
Daugavpils,Latvia,55.866667,26.616667,USSR
